Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
51	-409.5115	264.3488	-13.958588	-760.37256	-294.8794	184.42252	1.1141227	-715.4446	1000.0	1000.0	73.0	186.92513	630.0	0.0	401.0	860.50507	3100.0	0.0	510000.0	67.71432	89.83146	529.008	-47.84515	-68.50414	2.2706382	5388.289802074432
52	-263.8107	131.65016	-94.02362	-530.84106	-308.70422	120.393776	-72.07694	-509.3972	1000.0	1000.0	379.0	812.6309	2550.0	0.0	1161.5	1909.2518	5720.0	0.0	520000.0	60.239758	80.124756	563.21075	-47.98265	-60.870255	2.1577497	5492.7312688827515
53	-301.9795	112.75576	-103.394264	-483.40494	-306.6502	167.50427	-0.00044335044	-622.0272	1000.0	1000.0	1588.0	2467.1797	6000.0	0.0	714.5	1596.1249	6100.0	0.0	530000.0	54.37781	74.61715	745.76196	-45.93347	-55.06058	2.512389	5596.880961179733
54	-539.81586	297.7202	-212.24124	-1348.788	-617.5399	442.91556	-76.02321	-1576.0085	1000.0	1000.0	2307.0	3243.0266	9700.0	0.0	1296.0	2331.9036	7960.0	0.0	540000.0	49.047054	77.743286	890.5313	-48.399303	-49.698643	3.8220992	5702.102005243301
55	-410.5227	132.33957	-164.53691	-624.6927	-308.45612	219.32597	3.824388	-726.37683	1000.0	1000.0	2184.0	3826.2646	12210.0	0.0	348.5	1000.3363	4200.0	0.0	550000.0	50.94367	92.178825	1442.6133	-60.1811	-52.177	10.255715	5807.015706777573
56	-287.91586	106.65515	-163.02849	-482.90695	-255.34795	228.70464	90.7575	-785.0209	1000.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	560000.0	67.0406	115.220726	1041.4304	-67.69642	-68.9481	18.96442	5911.068079948425
57	-361.38205	165.83832	-143.82893	-654.981	-279.00845	193.4551	-74.69407	-748.2984	1000.0	1000.0	215.0	515.3106	1710.0	0.0	457.0	957.3928	3690.0	0.0	570000.0	86.55393	135.92134	999.56616	-67.95336	-88.38306	24.31525	6014.738842964172
58	-232.33206	163.56958	-0.007856446	-506.72632	-285.34454	173.78818	-0.06488581	-628.26263	1000.0	1000.0	1574.0	1739.2251	4910.0	0.0	547.5	1190.0751	5210.0	0.0	580000.0	100.17206	146.42488	1231.8119	-57.586903	-102.19963	23.435852	6118.4427485466
59	-332.13165	176.972	-77.46434	-610.891	-374.0103	151.1621	-115.013	-666.3691	1000.0	1000.0	0.0	0.0	0.0	0.0	1885.0	2908.8616	10880.0	0.0	590000.0	120.84448	156.86436	1154.0686	-53.817787	-123.2936	22.74927	6223.067635774612
60	-378.3429	155.22537	-159.96722	-662.2128	-317.15927	183.6935	0.01664545	-608.1896	1000.0	1000.0	543.0	1573.1499	5260.0	0.0	164.5	508.29593	2030.0	0.0	600000.0	148.38629	177.18187	1479.4305	-60.31824	-151.7434	20.617968	6327.483216285706
