Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
50	-0.0085897595	0.5391851	0.8589658	-0.99704254	0.20495239	0.624763	1.3028241	-1.5359049	1000.0	1000.0	848.0	1176.7905	3490.0	0.0	862.0	1479.0388	5270.0	0.0	500000.0	441096.28	449969.16	1697847.5	-1.214517	-441052.97	23078090.0	5320.161319971085
51	0.03542714	0.4372632	0.71768993	-1.0168225	-0.14061847	0.58297515	0.9390094	-2.0586	1000.0	1000.0	0.0	0.0	0.0	0.0	255.5	578.7268	2300.0	0.0	510000.0	381501.88	390327.34	1969181.4	-0.97266346	-385852.2	28261898.0	5423.850895881653
52	0.17834127	0.35370567	0.7575874	-0.47087303	-0.036012672	0.57787895	1.2657531	-1.4334658	1000.0	1000.0	188.0	397.73862	1230.0	0.0	626.0	1014.2012	3050.0	0.0	520000.0	497334.38	515084.9	2711871.0	-1.6232524	-511085.1	44599000.0	5528.256894826889
53	0.08013647	0.5359708	0.93029225	-1.2121556	-0.023733083	0.3252698	0.698125	-0.75731516	1000.0	1000.0	1174.0	1574.3329	4690.0	0.0	240.0	653.3835	2550.0	0.0	530000.0	796658.0	823336.7	3561257.2	-1.4171164	-820765.2	78884890.0	5632.456143140793
54	-0.0025934516	0.22824454	0.40750572	-0.3762584	0.11444869	0.6464115	1.7127348	-1.0919921	1000.0	1000.0	298.0	697.44965	2300.0	0.0	1345.0	2094.6611	7430.0	0.0	540000.0	1263775.9	1293679.6	5047825.0	-1.4909661	-1299003.2	136181170.0	5737.044245004654
55	0.115121104	0.67555183	1.7225554	-0.8532663	0.044421166	0.3487739	0.74968004	-0.71228087	1000.0	1000.0	29.0	58.728188	190.0	0.0	178.0	537.02515	1960.0	0.0	550000.0	1920345.8	1955732.8	6297816.5	-1.5924375	-1970430.4	211554400.0	5840.772817611694
56	0.15463659	0.3048815	0.9111803	-0.2095019	0.04842674	0.38242292	0.9460337	-0.6906299	1000.0	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	560000.0	2737608.8	2777498.2	7989064.5	-1.8091934	-2801643.0	280448260.0	5945.192215204239
57	0.03426017	0.24720795	0.56193596	-0.44725612	0.1568573	0.5308631	1.1366459	-1.0731835	1000.0	1000.0	56.0	168.0	560.0	0.0	135.5	411.4423	1670.0	0.0	570000.0	3641197.5	3677893.0	9385217.0	-1.942107	-3713229.5	363466530.0	6048.989545106888
58	-0.052438796	0.41875914	0.7148427	-0.8406092	0.07446482	0.45868018	0.75770205	-1.3501837	1000.0	1000.0	548.0	1061.9021	3440.0	0.0	498.5	826.67566	2640.0	0.0	580000.0	4401637.5	4432405.5	10401823.0	-1.6877737	-4473122.0	395024960.0	6152.885550260544
59	-0.050923012	0.5126603	1.0707849	-1.0663897	-0.14750914	0.5232261	0.8159091	-1.0825405	1000.0	1000.0	0.0	0.0	0.0	0.0	1107.0	1434.2352	4860.0	0.0	590000.0	4886626.0	4913839.0	11078376.0	-1.4780288	-4947159.5	400408320.0	6256.938362360001
60	0.1559886	0.34815517	0.7502006	-0.5113379	-0.066170506	0.34459007	0.7043609	-0.7772669	1000.0	1000.0	892.0	1708.6123	5260.0	0.0	87.5	304.02097	1360.0	0.0	600000.0	4977903.5	5004831.0	11488402.0	-1.6267304	-5025209.5	433179330.0	6360.913808584213
61	0.13581376	0.3362398	0.7410418	-0.40279615	0.019643333	0.56098795	1.2192485	-0.94102514	1000.0	1000.0	259.0	507.78833	1660.0	0.0	18.0	61.04097	270.0	0.0	610000.0	4707183.5	4734682.0	11706148.0	-1.8084497	-4738576.0	476510270.0	6465.017848968506
62	-0.14989115	0.18862364	0.18114644	-0.41655383	0.079114676	0.29318252	0.7321113	-0.66595846	1000.0	1000.0	813.0	1016.39606	2480.0	0.0	220.0	424.8647	1570.0	0.0	620000.0	4262343.5	4290731.5	11824613.0	-1.369317	-4286057.0	491311500.0	6569.443868398666
63	-0.17607684	0.34034452	0.3993875	-0.7440538	-0.041722942	0.49804416	1.092615	-1.0651295	1000.0	1000.0	0.0	0.0	0.0	0.0	915.5	1357.4515	4540.0	0.0	630000.0	3809922.0	3839155.0	11755756.0	-1.1710395	-3830622.5	476350820.0	6674.13444685936
64	-0.2677301	0.43042117	0.32917172	-1.0225376	0.25669947	0.38102362	1.0102829	-0.18490234	1000.0	1000.0	849.0	1140.6528	3400.0	0.0	879.0	2541.0115	10310.0	0.0	640000.0	3344508.5	3375293.2	11412622.0	-1.2155756	-3361408.2	468763970.0	6777.548909902573
65	-0.08980282	0.30917794	0.44972	-0.6868336	0.02768755	0.49842355	1.3107979	-0.7063239	1000.0	1000.0	288.0	426.35196	1360.0	0.0	518.0	1035.2083	3110.0	0.0	650000.0	3069292.5	3094197.0	11239238.0	-1.2221917	-3091573.5	420856030.0	6881.181512117386
66	0.34981427	0.78739303	2.0499902	-0.52862823	0.0130099775	0.61556506	1.4759885	-1.4005649	1000.0	1000.0	282.0	691.4738	2310.0	0.0	410.0	924.9973	3580.0	0.0	660000.0	2921221.2	2943430.2	11086034.0	-1.2289463	-2947725.0	446814000.0	6985.178640604019
67	0.13846692	0.3798317	1.068707	-0.32623443	-0.15143429	0.62207615	1.2464402	-1.4526829	1000.0	1000.0	548.0	945.11163	2590.0	0.0	965.5	1456.6381	3900.0	0.0	670000.0	3016328.2	3042429.0	12091960.0	-1.4493121	-3060998.2	565614660.0	7089.388568162918
68	0.12358687	0.748803	1.4227488	-1.6557034	0.011152719	0.34524444	0.7371657	-0.57454294	1000.0	1000.0	1640.0	1853.4347	5570.0	0.0	593.0	901.21643	3050.0	0.0	680000.0	3600925.2	3640379.2	14035890.0	-1.1965208	-3672283.5	826325060.0	7193.074170351028
69	0.060725886	0.5043763	0.98359716	-0.92895937	0.22840652	0.72674716	2.5556114	-0.87773424	1000.0	1000.0	471.0	949.4256	2620.0	0.0	756.5	943.5797	2310.0	0.0	690000.0	4804613.5	4866921.0	17622762.0	-1.4590744	-4911864.0	1184143600.0	7296.562838554382
70	0.32270783	0.65899867	2.0245576	-0.42600566	0.09826587	0.7195336	1.5647591	-2.2142806	1000.0	1000.0	554.0	1041.5873	3510.0	0.0	78.5	282.21048	1290.0	0.0	700000.0	6451395.5	6536300.5	22003754.0	-1.3415232	-6594692.0	1905953700.0	7400.294271469116
71	0.12107389	0.33895642	0.6490767	-0.28712696	0.9828374	1.5504174	4.815454	-0.23908885	1000.0	1000.0	855.0	1257.3086	3660.0	0.0	792.5	1898.4517	7090.0	0.0	710000.0	8322547.5	8402591.0	25306974.0	-1.068716	-8482907.0	2535202000.0	7503.810136079788
72	-0.13691436	1.5885862	3.0211945	-3.140081	0.023971152	0.488301	0.9942673	-1.1743878	1000.0	1000.0	681.0	1371.7467	3770.0	0.0	1286.0	1549.1301	4600.0	0.0	720000.0	10185948.0	10261432.0	28557182.0	-1.0040762	-10357837.0	3150365000.0	7607.170335769653
73	0.33933654	0.5656359	1.4351187	-0.478799	0.01314674	0.3303943	0.72566736	-1.2192926	1000.0	1000.0	2608.0	2067.819	7350.0	0.0	507.0	975.99744	3980.0	0.0	730000.0	11900074.0	11978086.0	31297138.0	-1.2569872	-12089052.0	3298494700.0	7710.643372058868
74	0.09642968	0.26796487	0.5036981	-0.49048445	-0.030216694	0.24142446	0.5276681	-0.5343139	1000.0	1000.0	22.0	66.0	220.0	0.0	682.5	1578.9138	5790.0	0.0	740000.0	13374059.0	13449354.0	33331384.0	-0.9863355	-13566127.0	3424864800.0	7814.127799749374
