Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
61	-194.6614	225.82092	79.20972	-543.9997	-327.3412	168.89185	-104.94013	-653.2762	1000.0	1000.0	609999	-819937.56	111656.89	-466442.12	-1401080.6	831914.5	27636216.0	16936.21090197563
62	-356.6938	137.67973	-80.9334	-548.64465	-336.52524	229.41388	1.0255699	-842.56714	1000.0	1000.0	619999	-971978.9	110196.53	-583250.94	-1507730.9	984378.9	30278500.0	17215.390888929367
63	-297.52457	263.30905	86.86969	-681.606	-305.42593	187.91559	-91.03006	-612.5637	1000.0	1000.0	629999	-1143109.9	140573.1	-685979.25	-1750010.6	1160138.9	45922696.0	17494.87103819847
64	-182.3529	250.37846	127.70911	-589.24695	-297.59222	256.5748	45.846603	-694.8908	1000.0	1000.0	639999	-1541588.5	207043.3	-837274.9	-2417078.0	1566946.9	73066780.0	17774.951617240906
65	-321.45517	197.68373	-75.31901	-633.6478	-257.37393	188.14763	92.0199	-511.1589	1000.0	1000.0	649999	-1985714.0	209249.19	-1292240.0	-3386124.2	2013079.4	106160350.0	18055.56800031662
66	-281.01678	212.146	104.38153	-523.8016	-325.41693	184.30885	-66.35597	-589.48846	1000.0	1000.0	659999	-2108244.2	271715.7	-1272448.9	-3490000.5	2127224.8	109680820.0	18336.235747098923
67	-312.3502	263.3369	44.763905	-767.06854	-400.78638	279.93347	25.763403	-972.22986	1000.0	1000.0	669999	-1970948.5	262905.8	-1148944.1	-3331225.0	1988887.8	96219784.0	18616.160663843155
68	-244.88928	268.45258	108.82484	-652.8855	-480.83112	179.03606	-241.00348	-834.22076	1000.0	1000.0	679999	-1923920.4	166830.1	-1177595.1	-2892542.5	1942981.9	89243576.0	18896.997175455093
69	-293.2459	187.45296	34.951603	-671.8339	-284.91547	191.32018	34.06654	-570.2513	1000.0	1000.0	689999	-1947490.5	191880.53	-1194514.8	-2916205.0	1969720.1	107979384.0	19177.637868642807
70	-314.69122	202.63545	47.119152	-568.5776	-326.76376	272.5002	99.82605	-684.0719	1000.0	1000.0	699999	-2435220.5	373598.28	-1350277.4	-3822053.5	2477520.8	159612690.0	19458.609861135483
71	-310.47333	164.75903	-17.928667	-519.1663	-248.8494	226.2528	99.382256	-680.64594	1000.0	1000.0	709999	-3325296.8	367793.84	-1830153.4	-4797644.5	3374791.0	227776130.0	19739.837750434875
72	-271.3426	227.88884	62.500126	-668.0418	-287.94736	254.4108	21.164356	-725.185	1000.0	1000.0	719999	-3889144.2	390571.38	-2565216.8	-5745873.5	3935925.0	316158300.0	20022.013391971588
73	-270.67584	198.60452	55.862755	-611.2677	-158.04518	237.16109	65.83187	-786.31934	1000.0	1000.0	729999	-4282973.5	496901.47	-2799660.8	-6192087.5	4334906.5	331618240.0	20303.836316108704
74	-207.61662	151.04237	91.93894	-458.2279	-331.86395	189.2726	-22.700096	-553.6192	1000.0	1000.0	739999	-4217400.5	675340.44	-2340941.0	-6347010.0	4243249.0	377369500.0	20585.557482242584
75	-254.87881	271.5696	86.93747	-727.9252	-319.0531	156.76817	42.89253	-553.811	1000.0	1000.0	749999	-3101492.5	725027.94	-1572538.2	-5716588.0	3113207.0	349272960.0	20866.425537109375
