Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
63	33.044155	50.802444	112.90613	-2.020817	43.226845	70.95447	209.36047	-3.621773	1000.0	1000.0	629999	24.049204	11.262749	188.74562	2.0104187	-24.252941	1.2478186	16016.238760948181
64	12.835887	90.7371	206.14143	-90.18728	21.168293	43.852394	109.51315	-2.274156	1000.0	1000.0	639999	20.157034	12.009992	178.54178	7.1916976	-20.264967	1.30671	16271.532640695572
65	59.697685	89.21225	211.60603	-40.01572	11.159109	34.571533	114.64025	-4.485519	1000.0	1000.0	649999	16.379507	12.171977	156.21953	3.5072436	-16.519394	1.4043406	16526.790760040283
66	9.88576	32.85109	108.03596	-9.860705	32.025944	95.88636	319.68454	-0.25736758	1000.0	1000.0	659999	16.155392	12.859303	155.27118	-0.2967887	-16.312849	1.2521683	16782.724905014038
67	10.199636	31.794552	105.562996	-1.802612	0.09842564	0.5597624	0.9509354	-0.9139539	1000.0	1000.0	669999	16.792532	10.146448	152.03915	-1.569082	-17.066359	0.97109807	17040.586242437363
68	0.09960965	0.38139436	0.7317244	-0.5679148	-0.7254392	1.9442301	2.4849675	-4.4907384	1000.0	1000.0	679999	28.33769	13.102598	175.88321	-3.427002	-28.7919	1.2507339	17302.33142733574
69	-0.89449537	1.7743434	2.2332644	-3.3433034	11.552165	30.134937	101.74995	-1.4838829	1000.0	1000.0	689999	36.910767	15.906919	187.64635	1.4800899	-37.551193	2.221861	17565.12236237526
70	8.840248	36.875374	118.22344	-18.14074	-1.0132244	2.3789577	2.9119983	-4.3135552	1000.0	1000.0	699999	48.73441	15.15237	196.67279	-0.42844367	-49.34753	2.6202073	17828.762935876846
71	-1.891185	4.2152424	5.0450277	-12.527708	21.453987	41.783306	105.8251	-0.44869417	1000.0	1000.0	709999	39.89598	15.684311	217.85484	7.724828	-40.067314	2.5092757	18093.897466897964
72	0.64089924	1.342102	4.139682	-0.5106197	0.31334108	0.56797075	1.077419	-1.0700109	1000.0	1000.0	719999	51.54756	28.685524	223.92581	3.8956819	-52.48096	3.7310188	18359.043799877167
73	0.48932877	1.6247882	4.1481886	-1.3068883	10.960373	31.218609	104.60861	-0.22715445	1000.0	1000.0	729999	31.045397	25.77177	196.15106	-2.0645738	-30.731575	1.9206065	18625.931594610214
74	32.247276	48.96852	107.989075	-0.7377656	0.25012755	1.0728297	2.6695712	-1.2490036	1000.0	1000.0	739999	20.52217	13.872501	182.82837	3.4950068	-20.48405	0.92734414	18891.84723520279
75	10.506163	31.264502	104.262115	-0.89903486	64.28264	70.897514	215.11641	-0.7246654	1000.0	1000.0	749999	11.832023	9.114151	173.8515	0.13602757	-11.895057	0.62669045	19158.49301481247
76	8.753889	59.484016	112.65201	-97.03393	77.724205	111.18187	326.10403	-8.691057	1000.0	1000.0	759999	5.903138	8.408025	201.71298	1.9345804	-5.927934	1.2152103	19426.529692173004
77	108.88751	98.6237	325.1404	-11.374016	21.187872	41.6823	105.14162	-0.78081864	1000.0	1000.0	769999	6.516755	11.546552	164.5546	2.0671947	-6.585799	1.7566686	19694.96591448784
78	21.379307	43.172993	109.69268	-1.5572034	21.43099	42.91372	108.08585	-1.9757911	1000.0	1000.0	779999	5.091095	9.895999	150.63159	-1.8853254	-5.081876	1.3085533	19964.25706410408
79	53.598785	86.13282	214.35635	-1.2715261	66.06909	87.72088	228.55008	-0.23609993	1000.0	1000.0	789999	3.245584	7.7603436	165.11818	-0.098160505	-3.2759476	0.83256435	20234.204938173294
80	65.991684	133.09473	443.30994	-3.592744	205.06741	278.40234	868.77295	-6.7050915	1000.0	1000.0	799999	4.96456	13.493384	170.9052	-1.2541894	-5.0568643	2.3865778	20504.495349407196
81	11.284179	33.923508	112.75547	-6.1637955	97.66599	122.92524	327.5356	-0.37692633	1000.0	1000.0	809999	6.120364	15.667703	160.53047	-2.0095603	-6.2039795	3.0052123	20774.19263792038
82	66.06732	111.913376	329.0546	-2.875543	106.00775	123.766685	323.21597	-15.172829	1000.0	1000.0	819999	6.212567	14.67627	155.194	-0.76872635	-6.2766647	2.5599055	21043.336579561234
83	186.05606	169.33672	540.9683	-1.2448763	99.48088	111.12093	318.86234	-2.2535884	1000.0	1000.0	829999	6.1940866	14.649468	148.94392	-1.3725591	-6.26175	2.3387434	21313.73176431656
84	67.10771	102.230064	333.0101	-7.2407312	85.70227	123.74046	318.6604	-1.1114597	1000.0	1000.0	839999	6.566352	15.826624	155.30066	-2.6416147	-6.6215873	2.65779	21584.54806494713
85	185.49203	205.84364	649.1277	0.14217606	90.22629	134.0662	430.89056	-1.155744	1000.0	1000.0	849999	5.330248	12.657137	151.11899	-2.1050463	-5.363244	1.5820961	21856.703109264374
86	66.493866	97.87609	320.71133	0.57081825	65.99772	72.06192	216.74892	-2.8098655	1000.0	1000.0	859999	5.692781	14.406016	152.54832	-2.7714524	-5.742155	1.9516433	22129.258936405182
87	79.11934	89.01827	227.90172	-20.561401	131.93869	178.6081	559.5241	-12.286617	1000.0	1000.0	869999	5.8926973	15.114048	155.33641	1.0438002	-5.9586506	2.0397851	22401.00341439247
88	212.25357	163.2268	554.5209	-7.8789616	164.15134	146.79915	433.18225	-11.361406	1000.0	1000.0	879999	6.842726	17.114841	156.2584	-3.0028949	-6.9236116	3.0738692	22673.412150621414
89	108.613235	180.3362	537.5676	-6.9549217	66.49409	88.0756	227.1763	-0.65925944	1000.0	1000.0	889999	7.4112535	16.615938	140.17177	-2.2506611	-7.4881134	2.8276598	22943.36000776291
90	111.14343	122.9796	338.4055	-0.19706175	207.10562	198.55405	557.6797	-2.0694375	1000.0	1000.0	899999	7.919926	16.540106	142.4259	1.1639283	-8.016985	2.815448	23211.567540884018
91	99.075195	114.01991	326.02396	-0.7953029	119.00529	162.41293	534.94775	-0.6349288	1000.0	1000.0	909999	10.158434	16.395222	164.72067	-0.7883434	-10.3080015	2.677214	23479.566549301147
92	22.452766	64.69081	216.49309	-0.32859603	0.3256036	0.8307579	1.8706485	-0.9690534	1000.0	1000.0	919999	10.951269	14.394678	150.46298	-1.653626	-11.008373	1.9822105	23749.515605449677
93	10.672467	31.642351	105.58771	-0.9158449	53.87387	86.77107	216.75917	-0.4190876	1000.0	1000.0	929999	8.878303	9.144764	163.69785	-13.275697	-8.909722	1.1818469	24021.583595752716
94	33.63339	50.171932	112.79223	-0.23800234	232.0208	192.19865	652.41034	0.24563698	1000.0	1000.0	939999	8.279659	14.279886	182.5615	-2.823196	-8.386261	2.1073093	24295.69006586075
95	112.18398	112.86592	341.9109	-1.0686704	145.92087	170.85268	443.80353	-1.4495224	1000.0	1000.0	949999	10.72043	16.328154	149.3687	-1.7342272	-10.82291	2.779751	24570.24646806717
96	129.66005	116.38896	326.5373	-0.6726397	110.42544	128.71075	330.4195	-1.9838737	1000.0	1000.0	959999	10.27015	15.784827	151.79889	2.7503285	-10.36055	2.3224168	24845.398835897446
97	98.17487	141.50227	435.99725	-0.75418633	168.68599	126.16574	449.83517	0.8547327	1000.0	1000.0	969999	10.967786	16.171152	169.06473	2.3555398	-11.075519	2.4537816	25120.861961603165
98	258.61832	243.7557	873.79095	-0.93531257	107.83455	126.61093	322.52097	-1.9481025	1000.0	1000.0	979999	11.766876	18.5208	147.38843	-1.3571362	-11.908202	4.0939302	25395.752406835556
99	86.2324	66.52437	223.23781	0.2220144	243.5041	262.7597	764.40717	-1.5120791	1000.0	1000.0	989999	14.859854	17.807207	169.56009	-1.6857576	-15.040306	3.9695737	25669.645886182785
100	141.73642	176.83359	539.7412	-12.972709	186.25754	189.95908	647.8279	-5.2249894	1000.0	1000.0	999999	15.695894	17.282755	162.3503	-2.6469936	-15.826172	3.5464985	25942.8611369133
