Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
46	0.26100403	0.35525382	1.7231963	-0.31139722	14.7	44.66628	215.0	0.0	1000.0	16107.0	0.01142340425531915	0.017347794	0.045837846	0.19117694	-0.121154316	3.4490123	6.4984436	33.28987	-2.640814	4.0690105e-09	-0.00090638176	-7.324219e-08	-0.00087374676	0.0025004903	0.0013111334	75.64761	-42.560574	0	0	1.0	1.6483189	0.0016824409	1410000	14157.891627311707
47	0.12355151	0.24708281	0.607779	-0.3061799	15.566667	67.94493	369.0	0.0	1000.0	16574.0	0.011509722222222222	-0.03387282	0.04753152	0.16411608	-0.19271506	1.2537516	3.262057	18.741125	-5.487503	-4.679362e-08	0.0016992879	-7.9752607e-07	0.0015670573	0.0024727958	-0.002091979	112.13291	-14.598297	0	0	1.0	1.6487006	0.0043312935	1440000	14440.15068411827
48	0.06569509	0.24860036	0.6176716	-0.33521095	14.033334	47.52788	237.0	0.0	1000.0	16995.0	0.011561224489795918	0.0030525895	0.040879626	0.16825235	-0.11223408	1.6483341	0.76689667	21.471354	-4.9587193	-4.0690105e-09	0.014897644	-1.6276042e-08	-0.00029139	0.00091940124	-0.0004816028	36.955963	-3.7609825	0	0	3.0	1.6490233	0.018255685	1470000	14723.681191921234
49	0.0018000546	0.26124585	0.4146269	-0.39383802	4.3333335	23.33571	130.0	0.0	1000.0	17125.0	0.011416666666666667	0.0036111425	0.045036197	0.14340362	-0.1456395	1.3378685	0.672055	8.332709	-4.806363	1.0172526e-09	0.016508738	8.138021e-09	-0.0013755981	0.00089184416	-0.00049007236	19.218447	-3.729084	0	0	1.0	1.6490073	0.034107506	1500000	15003.95779466629
50	0.08085375	0.26769558	0.63387334	-0.34676045	14.3	40.84291	188.0	0.0	1000.0	17554.0	0.011473202614379084	-0.0076466496	0.037313547	0.11671929	-0.112501405	0.46990603	0.48144037	15.032259	-5.452953	-9.155274e-09	0.011809448	4.0690104e-08	0.000278597	0.0010052242	-0.00063801935	44.44771	-2.0472374	0	0	1.0	1.648938	0.028661935	1530000	15286.63999414444
51	0.17133686	0.2245539	0.5549158	-0.34484902	13.133333	41.619495	200.0	0.0	1000.0	17948.0	0.011505128205128206	0.008968179	0.03731208	0.1692407	-0.101756364	1.5491865	0.40566608	12.253423	-4.7249317	-1.4241537e-08	0.004588085	1.3631185e-07	-0.0015415059	0.0007363837	-0.00046839513	48.924168	-3.520771	0	0	1.0	1.6490256	0.014022318	1560000	15568.72244310379
52	0.28852817	0.40738449	2.031981	-0.277849	1.6333333	6.4108405	32.0	0.0	1000.0	17997.0	0.011318867924528303	0.01994773	0.035084046	0.16301268	-0.08794132	1.8933572	2.2527537	45.289383	-0.3981732	9.155274e-09	0.017874623	2.6448568e-08	-0.0017630482	0.0029549072	0.0026083789	8.939339	-7.5758023	0	0	1.0	1.6493981	0.049633697	1590000	15850.511773109436
53	0.28375	0.36367694	1.7449038	-0.15139009	0.0	0.0	0.0	0.0	1000.0	17997.0	0.01110925925925926	-0.038555864	0.05512835	0.16669942	-0.19373596	0.2610362	0.37429914	4.010485	-27.134094	3.051758e-08	-0.008771124	2.2888185e-09	0.00023401006	0.0065125115	-0.005728924	0.16078551	-0.14291488	0	0	79.0	1.6498771	0.005353273	1620000	16164.258569955826
54	0.3230619	0.29876646	1.4788646	-0.029795012	16.0	54.958164	269.0	0.0	1000.0	18477.0	0.011198181818181819	0.019106563	0.04092536	0.25943655	-0.12391486	0.005750079	0.19847067	14.178157	-2.3023102	1.0172526e-09	-0.0073016277	5.859375e-07	0.0003876546	0.0029001432	-0.0017951938	64.895386	-10.531734	0	0	79.0	1.6394633	0.0045099407	1650000	16478.039291620255
55	0.34325334	0.37469837	1.6133916	-0.06407693	24.233334	88.99613	449.0	0.0	1000.0	19204.0	0.01143095238095238	0.033101317	0.06058038	0.4642444	-0.13141988	1.4566107	1.0032018	13.099495	0.7372004	-4.0690105e-09	-0.009506991	-9.765625e-08	0.0020892497	0.0024737238	-0.0017884773	128.64153	-39.636627	0	0	79.0	1.633798	0.0050374744	1680000	16791.4690489769
